actual,predicted
3100,2680.094420601106
2514,2942.702746363923
2900,2680.094420601106
1775,2854.0854922285416
4600,4449.769067797296
3471,2942.702746363923
2411,3247.153846154037
3200,2680.094420601106
4200,3247.153846154037
1900,2175.83536585386
5600,4449.769067797296
1775,2854.0854922285416
8750,4449.769067797296
3900,2942.702746363923
2195,2472.6810344830055
2590,2854.0854922285416
4500,4449.769067797296
3695,2942.702746363923
1850,2472.6810344830055
1717,2175.83536585386
2700,2680.094420601106
2185,2854.0854922285416
5200,4449.769067797296
1677,2175.83536585386
2350,2942.702746363923
2100,2680.094420601106
5800,4449.769067797296
2499,3247.153846154037
4750,2680.094420601106
2714,2854.0854922285416
2000,2854.0854922285416
2687,2854.0854922285416
3500,2854.0854922285416
1925,2680.094420601106
4688,4449.769067797296
3800,4449.769067797296
1800,4449.769067797296
2650,2854.0854922285416
2605,2705.2631578948894
2380,2942.702746363923
3200,2472.6810344830055
3200,2680.094420601106
3800,4449.769067797296
2600,2680.094420601106
2195,2854.0854922285416
2975,2854.0854922285416
2667,2942.702746363923
3350,2942.702746363923
1739,2175.83536585386
2600,2472.6810344830055
3418,3247.153846154037
2113,2175.83536585386
3024,2680.094420601106
4250,2175.83536585386
2950,2854.0854922285416
2400,4449.769067797296
1750,2942.702746363923
3750,4449.769067797296
4200,4449.769067797296
3600,2854.0854922285416
3650,2472.6810344830055
3500,2942.702746363923
2410,2942.702746363923
1750,2854.0854922285416
1750,2942.702746363923
3500,2942.702746363923
1000,2472.6810344830055
2450,2472.6810344830055
2600,4449.769067797296
2950,2854.0854922285416
2050,2680.094420601106
2699,2175.83536585386
4095,3247.153846154037
3500,2942.702746363923
4200,4449.769067797296
3750,4449.769067797296
4500,2942.702746363923
3750,4449.769067797296
4500,2854.0854922285416
2700,2942.702746363923
5300,2942.702746363923
4600,4449.769067797296
2395,2942.702746363923
1500,2854.0854922285416
1795,3247.153846154037
2300,2472.6810344830055
12000,4449.769067797296
4500,4449.769067797296
2150,2942.702746363923
2600,2175.83536585386
4050,3247.153846154037
3390,2942.702746363923
2195,2942.702746363923
3300,4449.769067797296
2245,2854.0854922285416
3500,3215.739130434932
3225,2942.702746363923
4500,2942.702746363923
5800,4449.769067797296
1460,2942.702746363923
1000,2854.0854922285416
2925,2942.702746363923
2750,2942.702746363923
7500,4449.769067797296
3177,2942.702746363923
3499,2942.702746363923
1800,2942.702746363923
4800,2942.702746363923
3000,2942.702746363923
1500,2942.702746363923
2100,4449.769067797296
2800,2680.094420601106
4895,4449.769067797296
1800,2680.094420601106
2892,2942.702746363923
2376,2854.0854922285416
2995,2942.702746363923
1500,2680.094420601106
3000,2854.0854922285416
2800,2942.702746363923
3550,4449.769067797296
3300,4449.769067797296
3950,2942.702746363923
7500,4449.769067797296
1499,2854.0854922285416
1895,2472.6810344830055
1725,2680.094420601106
